COD_MUNICIPIO;TOTAL_ESTABELECIMENTOS;ESTABELECIMENTOS_HOSPITALARES;ESTABELECIMENTOS_SUS;LATITUDE_MEDIA;LONGITUDE_MEDIA
110001;68;2;12;-11.96548581465303;-62.04300337166515
110002;325;15;45;-9.915218361902971;-63.039323716380196
110003;27;1;6;-13.487815803045;-60.538365619245
110004;685;14;53;-11.434724525472072;-61.44641755431517
110005;60;1;17;-13.203217461538888;-60.81734894213333
110006;44;1;12;-13.112012118880951;-60.53287175215952
110007;24;0;11;-12.971636846816667;-60.91072783585833
110008;26;1;10;-12.419604757547368;-64.21893303984737
110009;59;3;10;-11.502873131885716;-61.002245518200006
110010;86;4;19;-10.782313597163014;-65.2902493148178
110011;281;7;37;-10.451600568725416;-62.481331937582915
110012;818;21;87;-10.88407804191412;-61.93736491580462
110013;46;1;18;-9.422678535231112;-62.00602031755112
110014;52;1;11;-11.72784551176383;-62.31346110714894
110015;217;5;30;-10.71416640914372;-62.25358993960465
110018;230;2;21;-11.671480719848182;-61.185397285445
110020;2242;41;167;-8.771826034710045;-63.89324927294643
110025;68;1;20;-11.171223156336843;-61.90290911892106
110026;20;1;4;-9.704814308092308;-62.90061633974616
110028;300;3;28;-11.72431571663;-61.77475569896586
110029;22;1;8;-11.90736209538421;-61.779845605236844
110030;743;7;54;-12.735741602694498;-60.138964839739074
110032;96;1;13;-11.69717515391383;-62.70184871384043
110033;30;1;11;-10.381638850493102;-65.23363285934482
110034;49;1;14;-11.352443437710205;-62.31058305963877
110037;48;1;13;-12.147441151922918;-61.848706216962505
110040;30;1;10;-9.716490427406898;-63.33213525615172
110045;78;4;24;-10.20699357886;-63.830273402515715
110050;11;1;7;-11.71210350468;-61.99966853856999
110060;15;0;7;-10.330925081636364;-62.907218415372725
110070;18;0;8;-10.533255833722222;-63.66659700870556
110080;42;0;16;-8.833591408558824;-63.649689952517654
110090;11;1;7;-11.450521783754546;-61.94731794701818
110092;35;1;13;-12.528588076534286;-60.89391064332571
110094;27;1;10;-9.375204414889474;-62.60711638747368
110100;15;1;7;-10.635600953571428;-62.76542122357143
110110;19;1;12;-9.1877006751875;-63.1863813383125
110120;19;1;8;-11.189184366210526;-61.51189564538948
110130;27;2;7;-11.031578964740909;-62.68285178185909
110140;44;1;15;-10.249610826814287;-63.30076642152143
110143;18;1;10;-10.910790537826667;-62.559257736259994
110145;13;0;7;-12.185167874236363;-61.59394370866364
110146;8;1;6;-13.48185567907143;-61.04632768374285
110147;9;0;6;-11.845632833333333;-61.324589054444445
110148;11;1;5;-11.89850618;-61.50853367
110149;53;2;17;-12.070852958298001;-63.54568767451
110150;43;2;6;-11.758486176152381;-63.0205746409
110155;11;1;9;-10.93325288704;-62.25766534222
110160;18;1;13;-10.210891890613334;-62.355971281526664
110170;31;2;9;-11.126953599310001;-62.37042282294333
110175;18;1;6;-9.865475629966665;-62.183095032433336
110180;16;1;7;-10.411946247369231;-62.121618185523076
120001;23;1;9;-10.002094686557143;-67.01392207308095
120005;15;1;7;-10.913420015885714;-69.62230937587857
120010;34;1;17;-10.99810101236774;-68.77173975135162
120013;11;0;6;-9.785058099645454;-68.01236084353637
120017;16;0;8;-10.567722807160001;-67.68557283588667
120020;187;6;59;-7.637078378619429;-72.65975477643943
120025;18;0;11;-11.030476579444445;-68.68177912566667
120030;33;1;13;-8.167983729691999;-70.351800498964
120032;15;1;7;-9.252071610126666;-71.88475753641335
120033;38;1;16;-7.589474091596774;-72.94605594056775
120034;19;1;9;-8.83674638940625;-69.26888259125
120035;17;1;13;-8.9813725387;-72.72614613149412
120038;24;2;13;-10.29813451703913;-67.21128848882609
120039;17;1;11;-8.26746806437059;-72.74815037694118
120040;1411;12;177;-9.968800252687647;-67.82125307151149
120042;26;1;13;-7.757050112941666;-72.66812456772084
120043;11;1;4;-9.43802074700909;-70.49077308984546
120045;30;1;13;-10.107134658968;-67.660184286804
120050;50;2;23;-9.097948961018368;-68.6796925948796
120060;61;1;22;-8.204244681881633;-70.5982753867245
120070;22;1;13;-10.637835009519048;-68.50068838119999
120080;15;0;8;-9.65693953413077;-67.59860392107693
130002;18;1;14;-3.265274077211111;-64.83480446559444
130006;19;1;10;-3.368144374810526;-68.22200489257368
130008;20;1;9;-3.56893088378;-61.426114907605
130010;14;1;11;-3.7590643718214283;-61.6505292887
130014;24;1;15;-7.2330451673375;-59.7857910931875
130020;50;1;8;-4.459537158062;-70.31230477342801
130030;32;1;25;-3.578051550065625;-59.16324812060313
130040;44;1;11;-0.7439465532545455;-62.99531754916818
130050;50;1;14;-2.834080301687879;-57.07557402465758
130060;36;1;17;-4.3756095641588235;-69.97557401147058
130063;10;1;6;-3.9015596100799996;-61.371907832190004
130068;15;1;11;-2.9920799600600003;-57.60036946862
130070;27;1;17;-8.759720196395454;-67.37633506517727
130080;23;1;13;-4.375017475257143;-59.60237971077144
130083;15;1;9;-3.249812630013333;-61.255802665746664
130090;7;1;6;-6.535026955985714;-64.3871714482
130100;23;1;14;-4.859242843447825;-66.87713834873912
130110;26;1;19;-3.6906110253653845;-60.21146120972308
130115;25;1;12;-3.224048145991304;-59.744157168708696
130120;52;1;29;-4.090601757343137;-63.139394959982354
130130;20;1;18;-3.8321265775500004;-62.09411243533
130140;19;1;13;-6.660651555752631;-69.86606522609999
130150;10;1;7;-7.4357654501;-70.02278238712
130160;19;1;8;-2.5125784962555553;-66.09207128497778
130165;18;1;10;-7.5083967710333335;-72.57349461084667
130170;87;1;28;-7.475686231807042;-62.99146461529719
130180;20;1;6;-7.086273330555;-71.657488339925
130185;45;1;28;-3.2475816108139535;-60.18810682895814
130190;78;1;38;-3.139324033248052;-58.49889750521169
130195;14;1;8;-6.4040863191928565;-68.21520222138572
130200;19;1;10;-2.745876464138889;-58.026459191044445
130210;14;1;10;-1.8665442571615385;-66.86347301188461
130220;9;1;6;-3.4941770777777776;-66.06834887777778
130230;14;1;7;-2.760358984607143;-66.79200529358572
130240;68;2;19;-7.338761007335294;-64.89275993121029
130250;67;1;35;-3.3111339189483333;-60.65183998504833
130255;14;1;9;-3.426495108057143;-60.441533832028576
130260;2650;93;470;-3.093455608265994;-60.00826058893388
130270;44;2;28;-5.8790443312275;-61.351317705065
