municipio;periodo;internacoes;periodo_data;media_permanencia;dias_permanencia;obitos;taxa_mortalidade;valor_total
350010 ADAMANTINA;2024/Jul;493.0;2024-07-01;8.7;4304.0;27.0;5.48;691033.76
350030 AGUAI;2024/Jul;41.0;2024-07-01;5.7;232.0;3.0;7.32;18715.34
350050 AGUAS DE LINDOIA;2024/Jul;106.0;2024-07-01;3.4;359.0;10.0;9.43;44394.61
350070 AGUDOS;2024/Jul;96.0;2024-07-01;1.8;177.0;0.0;0.0;43085.58
350100 ALTINOPOLIS;2024/Jul;140.0;2024-07-01;2.6;367.0;5.0;3.57;42556.83
350110 ALTO ALEGRE;2024/Jul;0.0;2024-07-01;0.0;0.0;0.0;0.0;0.0
350130 ALVARES MACHADO;2024/Jul;57.0;2024-07-01;3.9;225.0;5.0;8.77;20572.43
350160 AMERICANA;2024/Jul;763.0;2024-07-01;5.2;3986.0;88.0;11.53;1069226.67
350170 AMERICO BRASILIENSE;2024/Jul;666.0;2024-07-01;3.8;2512.0;8.0;1.2;655294.16
350190 AMPARO;2024/Jul;418.0;2024-07-01;16.4;6863.0;30.0;7.18;807457.12
350210 ANDRADINA;2024/Jul;293.0;2024-07-01;3.8;1123.0;21.0;7.17;291118.63
350220 ANGATUBA;2024/Jul;133.0;2024-07-01;3.8;506.0;3.0;2.26;53349.25
350250 APARECIDA;2024/Jul;436.0;2024-07-01;2.6;1113.0;12.0;2.75;523764.38
350260 APARECIDA D'OESTE;2024/Jul;5.0;2024-07-01;1.8;9.0;0.0;0.0;1115.09
350270 APIAI;2024/Jul;264.0;2024-07-01;3.2;855.0;11.0;4.17;157620.42
350280 ARACATUBA;2024/Jul;1052.0;2024-07-01;6.4;6746.0;102.0;9.7;3199599.64
350310 ARANDU;2024/Jul;8.0;2024-07-01;4.6;37.0;0.0;0.0;2905.83
350320 ARARAQUARA;2024/Jul;1803.0;2024-07-01;3.5;6252.0;81.0;4.49;3279875.78
350330 ARARAS;2024/Jul;493.0;2024-07-01;4.6;2287.0;27.0;5.48;991666.12
350340 AREALVA;2024/Jul;12.0;2024-07-01;2.6;31.0;1.0;8.33;3239.3
350390 ARUJA;2024/Jul;174.0;2024-07-01;2.7;470.0;12.0;6.9;89577.52
350400 ASSIS;2024/Jul;844.0;2024-07-01;4.3;3649.0;37.0;4.38;1369176.19
350410 ATIBAIA;2024/Jul;371.0;2024-07-01;4.6;1694.0;29.0;7.82;287840.52
350420 AURIFLAMA;2024/Jul;187.0;2024-07-01;1.4;257.0;1.0;0.53;258767.43
350450 AVARE;2024/Jul;683.0;2024-07-01;3.7;2561.0;33.0;4.83;1205327.7
350520 BARIRI;2024/Jul;131.0;2024-07-01;3.1;403.0;7.0;5.34;59891.76
350530 BARRA BONITA;2024/Jul;151.0;2024-07-01;2.6;396.0;11.0;7.28;127106.0
350550 BARRETOS;2024/Jul;2695.0;2024-07-01;4.6;12496.0;216.0;8.01;7827117.5
350570 BARUERI;2024/Jul;3977.0;2024-07-01;3.0;11835.0;104.0;2.62;2897790.13
350580 BASTOS;2024/Jul;127.0;2024-07-01;2.2;278.0;1.0;0.79;48182.75
350590 BATATAIS;2024/Jul;388.0;2024-07-01;3.6;1394.0;28.0;7.22;480566.06
350600 BAURU;2024/Jul;3409.0;2024-07-01;5.7;19424.0;135.0;3.96;5732648.05
350610 BEBEDOURO;2024/Jul;648.0;2024-07-01;2.8;1832.0;31.0;4.78;565758.31
350630 BERNARDINO DE CAMPOS;2024/Jul;52.0;2024-07-01;3.7;191.0;6.0;11.54;26258.93
350635 BERTIOGA;2024/Jul;261.0;2024-07-01;3.4;899.0;15.0;5.75;117103.36
350640 BILAC;2024/Jul;18.0;2024-07-01;6.9;125.0;0.0;0.0;6336.05
350650 BIRIGUI;2024/Jul;404.0;2024-07-01;4.7;1916.0;22.0;5.45;420768.14
350670 BOA ESPERANCA DO SUL;2024/Jul;1.0;2024-07-01;6.0;6.0;0.0;0.0;630.42
350680 BOCAINA;2024/Jul;13.0;2024-07-01;2.5;33.0;0.0;0.0;5444.41
350700 BOITUVA;2024/Jul;227.0;2024-07-01;2.8;634.0;9.0;3.96;125286.35
350710 BOM JESUS DOS PERDOES;2024/Jul;24.0;2024-07-01;6.2;148.0;2.0;8.33;12366.29
350740 BORBOREMA;2024/Jul;66.0;2024-07-01;3.1;202.0;2.0;3.03;32243.84
350750 BOTUCATU;2024/Jul;2272.0;2024-07-01;6.2;14122.0;134.0;5.9;7379022.79
350760 BRAGANCA PAULISTA;2024/Jul;1544.0;2024-07-01;3.6;5617.0;90.0;5.83;2947547.05
350790 BROTAS;2024/Jul;86.0;2024-07-01;4.6;394.0;5.0;5.81;46271.24
350810 BURITAMA;2024/Jul;61.0;2024-07-01;3.8;233.0;5.0;8.2;27441.82
350840 CABREUVA;2024/Jul;48.0;2024-07-01;3.2;153.0;0.0;0.0;24101.39
350850 CACAPAVA;2024/Jul;344.0;2024-07-01;4.9;1702.0;25.0;7.27;418076.95
350870 CACONDE;2024/Jul;113.0;2024-07-01;9.4;1057.0;2.0;1.77;201878.99
350880 CAFELANDIA;2024/Jul;92.0;2024-07-01;3.1;286.0;5.0;5.43;41616.75
350900 CAIEIRAS;2024/Jul;359.0;2024-07-01;2.8;1007.0;12.0;3.34;168435.09
350920 CAJAMAR;2024/Jul;281.0;2024-07-01;3.7;1039.0;16.0;5.69;110568.99
350930 CAJOBI;2024/Jul;50.0;2024-07-01;1.8;91.0;1.0;2.0;19163.51
350940 CAJURU;2024/Jul;255.0;2024-07-01;3.7;953.0;10.0;3.92;135238.88
350950 CAMPINAS;2024/Jul;7670.0;2024-07-01;5.7;43337.0;389.0;5.07;19298524.99
350960 CAMPO LIMPO PAULISTA;2024/Jul;290.0;2024-07-01;3.7;1073.0;29.0;10.0;309250.09
350970 CAMPOS DO JORDAO;2024/Jul;243.0;2024-07-01;19.2;4677.0;5.0;2.06;470101.16
351000 CANDIDO MOTA;2024/Jul;197.0;2024-07-01;3.1;607.0;13.0;6.6;167620.28
351020 CAPAO BONITO;2024/Jul;226.0;2024-07-01;3.5;786.0;18.0;7.96;221715.22
351040 CAPIVARI;2024/Jul;239.0;2024-07-01;3.3;792.0;13.0;5.44;284434.93
351050 CARAGUATATUBA;2024/Jul;1849.0;2024-07-01;3.7;6775.0;71.0;3.84;2163558.03
351060 CARAPICUIBA;2024/Jul;1688.0;2024-07-01;3.1;5306.0;62.0;3.67;1553756.91
351070 CARDOSO;2024/Jul;34.0;2024-07-01;4.1;138.0;2.0;5.88;17602.46
351080 CASA BRANCA;2024/Jul;133.0;2024-07-01;9.1;1215.0;8.0;6.02;124479.36
