 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Taxa mortalidade por Município e Ano/mês atendimento
Período:Jul/2024-Jun/2026
"Município";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"2026/Abr";"2026/Mai";"2026/Jun";"Total"
"350010 ADAMANTINA";...;...;...;...;...;...;...;...;...;10,00;5,48;6,00;6,62;6,55;5,17;5,91;6,67;5,81;6,74;5,87;4,51;7,11;2,54;3,75;3,91;5,37;6,44;6,84;4,41;5,19;5,82;3,86;3,74;3,47;5,32
"350030 AGUAI";...;...;...;...;...;...;...;...;...;-;7,32;2,86;8,11;8,16;8,16;4,08;3,39;14,29;3,51;5,77;1,43;9,26;9,09;-;8,33;16,00;9,68;9,68;5,41;12,12;7,69;13,16;18,18;18,18;7,64
"350050 AGUAS DE LINDOIA";...;...;...;...;...;...;...;13,33;8,60;12,64;9,43;12,71;6,36;4,88;3,57;8,33;9,57;7,37;1,68;8,51;10,42;10,42;13,16;10,64;11,76;5,68;11,83;9,90;6,90;5,68;5,75;10,13;10,53;7,02;8,54
"350070 AGUDOS";...;...;...;...;...;...;...;...;...;-;-;-;0,98;-;-;-;1,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,25;-;-;0,13
"350100 ALTINOPOLIS";...;...;...;...;...;...;...;...;-;8,33;3,57;3,08;1,90;1,12;5,00;1,89;0,59;1,36;1,16;1,52;1,49;4,57;3,33;2,55;1,81;0,52;3,42;2,26;1,94;1,95;3,47;1,94;0,68;2,86;2,25
"350110 ALTO ALEGRE";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;-;11,11;5,88;-;-;-;-;-;-;-;-;...;-;33,33;20,00;-;-;20,00;4,35
"350130 ALVARES MACHADO";...;...;...;...;...;...;...;...;...;4,76;8,77;7,35;9,76;4,92;3,33;4,44;10,96;3,90;5,81;5,97;2,60;10,00;6,78;5,00;1,35;5,66;3,39;3,17;2,38;6,67;3,85;12,00;6,12;17,39;6,09
"350160 AMERICANA";...;...;...;...;...;-;...;-;8,11;11,84;11,53;7,91;7,06;8,95;8,99;9,32;8,47;8,10;7,84;9,96;7,69;8,81;7,96;6,35;5,92;7,15;7,21;8,54;8,56;7,21;4,90;7,17;6,66;8,38;7,95
"350170 AMERICO BRASILIENSE";...;...;...;...;...;...;...;-;-;7,69;1,20;2,32;2,65;1,98;1,44;2,56;3,37;1,78;2,92;2,53;2,50;3,81;2,54;2,46;2,74;1,99;2,86;3,75;1,92;1,58;2,73;2,01;2,53;1,75;2,41
"350190 AMPARO";...;...;...;...;...;...;...;...;20,00;15,56;7,18;4,34;6,61;4,64;5,07;5,53;5,01;3,80;6,24;5,13;4,89;7,23;6,81;5,81;4,23;5,68;4,09;7,47;4,78;4,81;3,70;3,45;10,23;6,71;5,66
"350210 ANDRADINA";...;...;...;...;...;-;-;-;25,00;11,54;7,17;8,19;10,63;6,52;8,92;9,09;5,81;6,98;8,81;9,79;10,98;8,65;7,67;7,67;12,18;8,20;5,88;9,57;8,04;8,27;6,25;10,12;8,87;7,21;8,44
"350220 ANGATUBA";...;...;...;...;...;...;...;...;-;22,22;2,26;9,66;11,36;4,27;8,74;4,08;4,48;2,21;3,95;4,76;6,15;5,00;5,03;11,26;4,00;4,38;5,07;4,69;2,37;4,83;2,63;6,57;4,86;2,86;5,26
"350250 APARECIDA";...;...;...;...;...;...;...;-;20,00;7,78;2,75;3,58;5,12;4,26;5,03;4,03;3,64;3,45;5,59;4,31;5,08;5,35;7,44;5,01;4,05;3,81;3,76;3,88;5,69;2,65;4,21;4,47;3,64;4,43;4,39
"350260 APARECIDA D'OESTE";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;-;-;14,29;25,00;-;14,29;-;18,18;-;50,00;14,29;12,50;25,00;-;-;-;-;...;5,13
"350270 APIAI";...;...;...;...;...;...;...;...;...;5,41;4,17;4,41;2,14;5,12;2,69;2,34;4,03;2,75;4,82;1,52;3,72;5,48;4,47;6,25;3,72;3,33;2,77;1,93;2,07;3,99;3,06;1,53;1,76;1,93;3,28
"350280 ARACATUBA";...;...;...;...;...;...;100,00;300,00;11,67;13,21;9,70;8,35;10,08;8,87;11,23;11,53;10,77;11,21;11,16;9,71;11,27;11,27;10,18;10,15;9,75;9,27;10,02;10,23;9,29;9,70;8,42;7,45;9,01;7,59;9,98
"350310 ARANDU";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;-;-;-;10,00;12,50;-;12,50;9,09;-;-;11,11;12,50;-;25,00;20,00;-;-;...;4,47
"350320 ARARAQUARA";...;...;...;...;...;...;...;-;2,04;4,95;4,49;5,67;5,18;4,36;5,31;4,63;5,21;4,79;5,73;5,66;6,89;6,66;5,93;5,02;3,89;5,03;4,46;5,46;4,76;5,06;3,82;4,19;4,50;5,49;5,05
"350330 ARARAS";...;...;...;...;...;...;...;-;-;14,74;5,48;6,76;6,11;5,59;5,40;7,09;6,33;5,47;4,91;5,20;6,21;7,39;5,44;6,92;6,34;6,02;5,71;5,90;5,32;7,31;4,37;4,59;3,71;4,01;5,73
