hospital_id,hospital_nome,regiao,municipio,total_leitos,latitude,longitude
HOSP001,Hospital Municipal Norte,Zona Norte,São Paulo,200,-23.4805,-46.605
HOSP002,Hospital Municipal Sul,Zona Sul,São Paulo,180,-23.625,-46.64
HOSP003,Hospital Municipal Leste,Zona Leste,São Paulo,220,-23.55,-46.5
HOSP004,Hospital Municipal Oeste,Zona Oeste,São Paulo,160,-23.56,-46.72
HOSP005,Hospital Municipal Central,Centro,São Paulo,250,-23.5505,-46.6333
HOSP006,Hospital Municipal Norte 006,Zona Norte,São Paulo,195,-23.475,-46.61
HOSP007,Hospital Municipal Sul 007,Zona Sul,São Paulo,175,-23.63,-46.65
HOSP008,Hospital Municipal Leste 008,Zona Leste,São Paulo,210,-23.545,-46.495
HOSP009,Hospital Municipal Oeste 009,Zona Oeste,São Paulo,155,-23.555,-46.715
HOSP010,Hospital Municipal Centro 010,Centro,São Paulo,230,-23.548,-46.638
HOSP011,Hospital Municipal Norte 011,Zona Norte,São Paulo,185,-23.485,-46.598
HOSP012,Hospital Municipal Sul 012,Zona Sul,São Paulo,190,-23.62,-46.63
HOSP013,Hospital Municipal Leste 013,Zona Leste,São Paulo,225,-23.56,-46.51
HOSP014,Hospital Municipal Oeste 014,Zona Oeste,São Paulo,170,-23.57,-46.73
HOSP015,Hospital Municipal Centro 015,Centro,São Paulo,245,-23.556,-46.625
HOSP016,Hospital Municipal Norte 016,Zona Norte,São Paulo,200,-23.47,-46.615
HOSP017,Hospital Municipal Sul 017,Zona Sul,São Paulo,165,-23.635,-46.645
HOSP018,Hospital Municipal Leste 018,Zona Leste,São Paulo,215,-23.555,-46.49
HOSP019,Hospital Municipal Oeste 019,Zona Oeste,São Paulo,150,-23.565,-46.71
HOSP020,Hospital Municipal Centro 020,Centro,São Paulo,235,-23.545,-46.63
HOSP021,Hospital Municipal Norte 021,Zona Norte,São Paulo,190,-23.478,-46.602
HOSP022,Hospital Municipal Sul 022,Zona Sul,São Paulo,185,-23.628,-46.635
HOSP023,Hospital Municipal Leste 023,Zona Leste,São Paulo,205,-23.548,-46.505
HOSP024,Hospital Municipal Oeste 024,Zona Oeste,São Paulo,165,-23.558,-46.725
HOSP025,Hospital Municipal Centro 025,Centro,São Paulo,255,-23.552,-46.64
HOSP026,Hospital Municipal Norte 026,Zona Norte,São Paulo,175,-23.488,-46.608
HOSP027,Hospital Municipal Sul 027,Zona Sul,São Paulo,195,-23.615,-46.655
HOSP028,Hospital Municipal Leste 028,Zona Leste,São Paulo,230,-23.565,-46.515
HOSP029,Hospital Municipal Oeste 029,Zona Oeste,São Paulo,145,-23.575,-46.705
HOSP030,Hospital Municipal Centro 030,Centro,São Paulo,240,-23.558,-46.635
HOSP031,Hospital Municipal Norte 031,Zona Norte,São Paulo,205,-23.472,-46.6
HOSP032,Hospital Municipal Sul 032,Zona Sul,São Paulo,180,-23.622,-46.625
HOSP033,Hospital Municipal Leste 033,Zona Leste,São Paulo,215,-23.552,-46.485
HOSP034,Hospital Municipal Oeste 034,Zona Oeste,São Paulo,160,-23.562,-46.735
HOSP035,Hospital Municipal Centro 035,Centro,São Paulo,250,-23.55,-46.628
HOSP036,Hospital Municipal Norte 036,Zona Norte,São Paulo,190,-23.482,-46.62
HOSP037,Hospital Municipal Sul 037,Zona Sul,São Paulo,170,-23.638,-46.638
HOSP038,Hospital Municipal Leste 038,Zona Leste,São Paulo,220,-23.558,-46.502
HOSP039,Hospital Municipal Oeste 039,Zona Oeste,São Paulo,155,-23.568,-46.718
HOSP040,Hospital Municipal Centro 040,Centro,São Paulo,235,-23.547,-46.642
HOSP041,Hospital Municipal Norte 041,Zona Norte,São Paulo,200,-23.476,-46.612
HOSP042,Hospital Municipal Sul 042,Zona Sul,São Paulo,185,-23.626,-46.648
HOSP043,Hospital Municipal Leste 043,Zona Leste,São Paulo,210,-23.547,-46.512
HOSP044,Hospital Municipal Oeste 044,Zona Oeste,São Paulo,175,-23.557,-46.728
HOSP045,Hospital Municipal Centro 045,Centro,São Paulo,245,-23.553,-46.632
HOSP046,Hospital Municipal Norte 046,Zona Norte,São Paulo,180,-23.49,-46.604
HOSP047,Hospital Municipal Sul 047,Zona Sul,São Paulo,195,-23.618,-46.642
HOSP048,Hospital Municipal Leste 048,Zona Leste,São Paulo,225,-23.562,-46.498
HOSP049,Hospital Municipal Oeste 049,Zona Oeste,São Paulo,150,-23.572,-46.712
HOSP050,Hospital Municipal Centro 050,Centro,São Paulo,260,-23.549,-46.637
HOSP051,Hospital Municipal Norte 051,Zona Norte,São Paulo,195,-23.479,-46.607
HOSP052,Hospital Municipal Sul 052,Zona Sul,São Paulo,175,-23.632,-46.652
HOSP053,Hospital Municipal Leste 053,Zona Leste,São Paulo,215,-23.551,-46.507
HOSP054,Hospital Municipal Oeste 054,Zona Oeste,São Paulo,165,-23.561,-46.722
HOSP055,Hospital Municipal Centro 055,Centro,São Paulo,240,-23.555,-46.627
HOSP056,Hospital Municipal Norte 056,Zona Norte,São Paulo,185,-23.474,-46.616
HOSP057,Hospital Municipal Sul 057,Zona Sul,São Paulo,200,-23.624,-46.638
HOSP058,Hospital Municipal Leste 058,Zona Leste,São Paulo,230,-23.557,-46.493
HOSP059,Hospital Municipal Oeste 059,Zona Oeste,São Paulo,155,-23.569,-46.717
HOSP060,Hospital Municipal Centro 060,Centro,São Paulo,250,-23.551,-46.641
HOSP061,Hospital Municipal Norte 061,Zona Norte,São Paulo,205,-23.486,-46.601
HOSP062,Hospital Municipal Sul 062,Zona Sul,São Paulo,180,-23.617,-46.647
HOSP063,Hospital Municipal Leste 063,Zona Leste,São Paulo,220,-23.563,-46.508
HOSP064,Hospital Municipal Oeste 064,Zona Oeste,São Paulo,160,-23.554,-46.731
HOSP065,Hospital Municipal Centro 065,Centro,São Paulo,245,-23.546,-46.634
HOSP066,Hospital Municipal Norte 066,Zona Norte,São Paulo,190,-23.481,-46.611
HOSP067,Hospital Municipal Sul 067,Zona Sul,São Paulo,170,-23.637,-46.632
HOSP068,Hospital Municipal Leste 068,Zona Leste,São Paulo,210,-23.549,-46.501
HOSP069,Hospital Municipal Oeste 069,Zona Oeste,São Paulo,150,-23.566,-46.724
HOSP070,Hospital Municipal Centro 070,Centro,São Paulo,255,-23.559,-46.629
HOSP071,Hospital Municipal Norte 071,Zona Norte,São Paulo,200,-23.477,-46.603
HOSP072,Hospital Municipal Sul 072,Zona Sul,São Paulo,185,-23.621,-46.654
HOSP073,Hospital Municipal Leste 073,Zona Leste,São Paulo,225,-23.554,-46.509
HOSP074,Hospital Municipal Oeste 074,Zona Oeste,São Paulo,165,-23.574,-46.716
HOSP075,Hospital Municipal Centro 075,Centro,São Paulo,235,-23.551,-46.636
HOSP076,Hospital Municipal Norte 076,Zona Norte,São Paulo,175,-23.489,-46.618
HOSP077,Hospital Municipal Sul 077,Zona Sul,São Paulo,195,-23.629,-46.644
HOSP078,Hospital Municipal Leste 078,Zona Leste,São Paulo,215,-23.561,-46.496
HOSP079,Hospital Municipal Oeste 079,Zona Oeste,São Paulo,155,-23.559,-46.709
HOSP080,Hospital Municipal Centro 080,Centro,São Paulo,250,-23.554,-46.643
HOSP081,Hospital Municipal Norte 081,Zona Norte,São Paulo,190,-23.483,-46.605
HOSP082,Hospital Municipal Sul 082,Zona Sul,São Paulo,180,-23.616,-46.636
HOSP083,Hospital Municipal Leste 083,Zona Leste,São Paulo,220,-23.55,-46.513
HOSP084,Hospital Municipal Oeste 084,Zona Oeste,São Paulo,170,-23.567,-46.727
HOSP085,Hospital Municipal Centro 085,Centro,São Paulo,245,-23.548,-46.631
HOSP086,Hospital Municipal Norte 086,Zona Norte,São Paulo,200,-23.471,-46.609
HOSP087,Hospital Municipal Sul 087,Zona Sul,São Paulo,175,-23.633,-46.65
HOSP088,Hospital Municipal Leste 088,Zona Leste,São Paulo,230,-23.559,-46.487
HOSP089,Hospital Municipal Oeste 089,Zona Oeste,São Paulo,160,-23.563,-46.719
HOSP090,Hospital Municipal Centro 090,Centro,São Paulo,255,-23.557,-46.639
HOSP091,Hospital Municipal Norte 091,Zona Norte,São Paulo,185,-23.478,-46.617
HOSP092,Hospital Municipal Sul 092,Zona Sul,São Paulo,190,-23.625,-46.659
HOSP093,Hospital Municipal Leste 093,Zona Leste,São Paulo,210,-23.546,-46.504
HOSP094,Hospital Municipal Oeste 094,Zona Oeste,São Paulo,150,-23.571,-46.733
HOSP095,Hospital Municipal Centro 095,Centro,São Paulo,240,-23.55,-46.626
HOSP096,Hospital Municipal Norte 096,Zona Norte,São Paulo,195,-23.485,-46.599
HOSP097,Hospital Municipal Sul 097,Zona Sul,São Paulo,180,-23.619,-46.646
HOSP098,Hospital Municipal Leste 098,Zona Leste,São Paulo,225,-23.564,-46.511
HOSP099,Hospital Municipal Oeste 099,Zona Oeste,São Paulo,165,-23.556,-46.714
HOSP100,Hospital Municipal Centro 100,Centro,São Paulo,260,-23.552,-46.638
HOSP101,Hospital Municipal Norte 101,Zona Norte,São Paulo,200,-23.48,-46.608
HOSP102,Hospital Municipal Sul 102,Zona Sul,São Paulo,185,-23.627,-46.64
HOSP103,Hospital Municipal Leste 103,Zona Leste,São Paulo,215,-23.553,-46.497
HOSP104,Hospital Municipal Oeste 104,Zona Oeste,São Paulo,155,-23.569,-46.725
HOSP105,Hospital Municipal Centro 105,Centro,São Paulo,250,-23.549,-46.633
HOSP106,Hospital Municipal Norte 106,Zona Norte,São Paulo,190,-23.473,-46.602
HOSP107,Hospital Municipal Sul 107,Zona Sul,São Paulo,170,-23.636,-46.655
HOSP108,Hospital Municipal Leste 108,Zona Leste,São Paulo,220,-23.56,-46.503
HOSP109,Hospital Municipal Oeste 109,Zona Oeste,São Paulo,160,-23.564,-46.718
HOSP110,Hospital Municipal Centro 110,Centro,São Paulo,245,-23.555,-46.641
