hospital_id,especialidade
HOSP001,Cirurgia Geral
HOSP001,Clínica Médica
HOSP001,Ortopedia
HOSP001,Trauma
HOSP002,Cardiologia
HOSP002,Neurologia
HOSP002,Ortopedia
HOSP003,Cardiologia
HOSP003,Endocrinologia
HOSP003,Pneumologia
HOSP003,Trauma
HOSP004,Clínica Médica
HOSP004,Trauma
HOSP005,Cirurgia Geral
HOSP005,Ginecologia
HOSP005,Neurologia
HOSP005,Trauma
HOSP006,Clínica Médica
HOSP006,Pneumologia
HOSP006,Trauma
HOSP007,Dermatologia
HOSP007,Ortopedia
HOSP007,Urologia
HOSP008,Cardiologia
HOSP008,Clínica Médica
HOSP008,Ginecologia
HOSP009,Otorrinolaringologia
HOSP009,Trauma
HOSP010,Clínica Médica
HOSP010,Endocrinologia
HOSP010,Neurologia
HOSP010,Ortopedia
HOSP011,Clínica Médica
HOSP011,Oftalmologia
HOSP012,Pediatria
HOSP012,Urologia
HOSP013,Dermatologia
HOSP013,Ortopedia
HOSP013,Pneumologia
HOSP013,Urologia
HOSP014,Cardiologia
HOSP014,Cirurgia Geral
HOSP015,Cardiologia
HOSP015,Cirurgia Geral
HOSP015,Ortopedia
HOSP015,Pneumologia
HOSP015,Psiquiatria
HOSP016,Otorrinolaringologia
HOSP016,Trauma
HOSP016,Urologia
HOSP017,Oftalmologia
HOSP017,Pneumologia
HOSP018,Endocrinologia
HOSP018,Gastroenterologia
HOSP018,Neurologia
HOSP018,Pediatria
HOSP019,Obstetrícia
HOSP019,Ortopedia
HOSP020,Cardiologia
HOSP020,Ortopedia
HOSP020,Pediatria
HOSP020,Trauma
HOSP021,Cirurgia Geral
HOSP021,Clínica Médica
HOSP022,Trauma
HOSP022,Urologia
HOSP023,Cirurgia Geral
HOSP023,Ginecologia
HOSP023,Urologia
HOSP024,Endocrinologia
HOSP024,Pediatria
HOSP024,Trauma
HOSP025,Ginecologia
HOSP025,Ortopedia
HOSP025,Psiquiatria
HOSP025,Trauma
HOSP026,Cardiologia
HOSP026,Dermatologia
HOSP027,Cirurgia Geral
HOSP027,Obstetrícia
HOSP027,Pneumologia
HOSP027,Trauma
HOSP028,Neurologia
HOSP028,Oftalmologia
HOSP028,Otorrinolaringologia
HOSP028,Psiquiatria
HOSP029,Clínica Médica
HOSP029,Pediatria
HOSP029,Trauma
HOSP030,Clínica Médica
HOSP030,Dermatologia
HOSP030,Ginecologia
HOSP030,Pneumologia
HOSP031,Clínica Médica
HOSP031,Ortopedia
HOSP031,Pneumologia
HOSP031,Psiquiatria
HOSP032,Cirurgia Geral
HOSP032,Clínica Médica
HOSP032,Ginecologia
HOSP033,Cardiologia
HOSP033,Obstetrícia
HOSP033,Oftalmologia
HOSP033,Pediatria
HOSP034,Neurologia
HOSP034,Obstetrícia
HOSP034,Pediatria
HOSP035,Cirurgia Geral
HOSP035,Clínica Médica
HOSP035,Psiquiatria
HOSP035,Trauma
HOSP036,Clínica Médica
HOSP036,Pneumologia
HOSP036,Psiquiatria
HOSP037,Ortopedia
HOSP037,Trauma
HOSP038,Gastroenterologia
HOSP038,Neurologia
HOSP038,Obstetrícia
HOSP038,Pneumologia
HOSP039,Cardiologia
HOSP039,Gastroenterologia
HOSP039,Urologia
HOSP040,Cardiologia
HOSP040,Clínica Médica
HOSP040,Pediatria
HOSP040,Psiquiatria
HOSP041,Cirurgia Geral
HOSP041,Ginecologia
HOSP041,Otorrinolaringologia
HOSP042,Otorrinolaringologia
HOSP042,Psiquiatria
HOSP042,Trauma
HOSP043,Cirurgia Geral
HOSP043,Gastroenterologia
HOSP043,Oftalmologia
HOSP043,Ortopedia
HOSP044,Cardiologia
HOSP044,Pediatria
HOSP044,Urologia
HOSP045,Cardiologia
HOSP045,Endocrinologia
HOSP045,Gastroenterologia
HOSP045,Ginecologia
HOSP045,Ortopedia
HOSP046,Pneumologia
HOSP046,Urologia
HOSP047,Endocrinologia
HOSP047,Neurologia
HOSP047,Trauma
HOSP048,Clínica Médica
HOSP048,Gastroenterologia
HOSP048,Oftalmologia
HOSP048,Ortopedia
HOSP048,Trauma
HOSP049,Clínica Médica
HOSP049,Trauma
HOSP050,Cirurgia Geral
HOSP050,Clínica Médica
HOSP050,Ortopedia
HOSP050,Trauma
HOSP051,Cardiologia
HOSP051,Endocrinologia
HOSP051,Otorrinolaringologia
HOSP052,Cirurgia Geral
HOSP052,Neurologia
HOSP052,Pediatria
HOSP053,Cardiologia
HOSP053,Oftalmologia
HOSP053,Pediatria
HOSP054,Cirurgia Geral
HOSP054,Trauma
HOSP055,Neurologia
HOSP055,Obstetrícia
HOSP055,Ortopedia
HOSP055,Urologia
HOSP056,Neurologia
HOSP056,Pneumologia
HOSP057,Cardiologia
HOSP057,Oftalmologia
HOSP057,Otorrinolaringologia
HOSP057,Urologia
HOSP058,Dermatologia
HOSP058,Gastroenterologia
HOSP058,Neurologia
HOSP058,Pediatria
HOSP059,Clínica Médica
HOSP059,Pediatria
HOSP060,Cirurgia Geral
HOSP060,Clínica Médica
HOSP060,Otorrinolaringologia
HOSP060,Psiquiatria
HOSP060,Trauma
HOSP061,Endocrinologia
HOSP061,Ortopedia
HOSP061,Psiquiatria
HOSP061,Trauma
HOSP062,Cardiologia
HOSP062,Clínica Médica
HOSP063,Cardiologia
HOSP063,Cirurgia Geral
HOSP063,Otorrinolaringologia
HOSP063,Psiquiatria
HOSP064,Oftalmologia
HOSP064,Pediatria
HOSP065,Obstetrícia
HOSP065,Ortopedia
HOSP065,Pediatria
HOSP065,Trauma
HOSP066,Obstetrícia
HOSP066,Pediatria
HOSP066,Pneumologia
HOSP067,Ortopedia
HOSP067,Urologia
HOSP068,Clínica Médica
HOSP068,Neurologia
HOSP068,Ortopedia
HOSP069,Cardiologia
HOSP069,Ginecologia
HOSP070,Clínica Médica
HOSP070,Endocrinologia
HOSP070,Neurologia
HOSP070,Pediatria
HOSP071,Cirurgia Geral
HOSP071,Gastroenterologia
HOSP071,Neurologia
HOSP072,Trauma
HOSP072,Urologia
HOSP073,Gastroenterologia
HOSP073,Ortopedia
HOSP073,Otorrinolaringologia
HOSP073,Psiquiatria
HOSP073,Trauma
HOSP074,Ortopedia
HOSP074,Pediatria
HOSP075,Cardiologia
HOSP075,Cirurgia Geral
HOSP075,Endocrinologia
HOSP075,Gastroenterologia
HOSP075,Ginecologia
HOSP076,Clínica Médica
HOSP076,Pneumologia
HOSP076,Psiquiatria
HOSP077,Clínica Médica
HOSP077,Neurologia
HOSP077,Urologia
HOSP078,Ginecologia
HOSP078,Psiquiatria
HOSP078,Trauma
HOSP079,Clínica Médica
HOSP079,Pediatria
HOSP079,Psiquiatria
HOSP080,Endocrinologia
HOSP080,Gastroenterologia
HOSP080,Ortopedia
HOSP080,Pediatria
HOSP080,Pneumologia
HOSP081,Cardiologia
HOSP081,Otorrinolaringologia
HOSP081,Pneumologia
HOSP082,Cirurgia Geral
HOSP082,Oftalmologia
HOSP083,Clínica Médica
HOSP083,Neurologia
HOSP083,Pediatria
HOSP083,Trauma
HOSP084,Obstetrícia
HOSP084,Trauma
HOSP085,Clínica Médica
HOSP085,Dermatologia
HOSP085,Ortopedia
HOSP085,Pediatria
HOSP085,Pneumologia
HOSP086,Cardiologia
HOSP086,Ortopedia
HOSP086,Pneumologia
HOSP087,Cardiologia
HOSP087,Ginecologia
HOSP087,Pneumologia
HOSP088,Neurologia
HOSP088,Ortopedia
HOSP088,Otorrinolaringologia
HOSP088,Pediatria
HOSP088,Psiquiatria
HOSP089,Clínica Médica
HOSP089,Endocrinologia
HOSP089,Trauma
HOSP090,Dermatologia
HOSP090,Otorrinolaringologia
HOSP090,Psiquiatria
HOSP090,Trauma
HOSP091,Ortopedia
HOSP091,Urologia
HOSP092,Cardiologia
HOSP092,Cirurgia Geral
HOSP092,Gastroenterologia
HOSP093,Cirurgia Geral
HOSP093,Gastroenterologia
HOSP093,Oftalmologia
HOSP094,Gastroenterologia
HOSP094,Pediatria
HOSP095,Obstetrícia
HOSP095,Oftalmologia
HOSP095,Pediatria
HOSP095,Trauma
HOSP096,Ginecologia
HOSP096,Neurologia
HOSP096,Pneumologia
HOSP097,Ortopedia
HOSP097,Pneumologia
HOSP098,Endocrinologia
HOSP098,Ginecologia
HOSP098,Neurologia
HOSP098,Oftalmologia
HOSP098,Ortopedia
HOSP099,Cardiologia
HOSP099,Pneumologia
HOSP099,Trauma
HOSP100,Cardiologia
HOSP100,Clínica Médica
HOSP100,Endocrinologia
HOSP100,Otorrinolaringologia
HOSP101,Cardiologia
HOSP101,Cirurgia Geral
HOSP101,Endocrinologia
HOSP101,Trauma
HOSP102,Otorrinolaringologia
HOSP102,Trauma
HOSP103,Oftalmologia
HOSP103,Ortopedia
HOSP103,Otorrinolaringologia
HOSP103,Psiquiatria
HOSP104,Clínica Médica
HOSP104,Pediatria
HOSP105,Cardiologia
HOSP105,Gastroenterologia
HOSP105,Obstetrícia
HOSP105,Otorrinolaringologia
HOSP105,Pneumologia
HOSP106,Neurologia
HOSP106,Pneumologia
HOSP107,Neurologia
HOSP107,Psiquiatria
HOSP108,Clínica Médica
HOSP108,Neurologia
HOSP108,Otorrinolaringologia
HOSP108,Trauma
HOSP109,Clínica Médica
HOSP109,Ginecologia
HOSP110,Cirurgia Geral
HOSP110,Clínica Médica
HOSP110,Endocrinologia
HOSP110,Gastroenterologia
HOSP110,Ortopedia
HOSP111,Cardiologia
HOSP111,Neurologia
HOSP111,Psiquiatria
HOSP112,Cirurgia Geral
HOSP112,Gastroenterologia
HOSP112,Ginecologia
HOSP113,Dermatologia
HOSP113,Ortopedia
HOSP113,Pediatria
HOSP113,Trauma
HOSP114,Gastroenterologia
HOSP114,Trauma
HOSP115,Cirurgia Geral
HOSP115,Clínica Médica
HOSP115,Neurologia
HOSP115,Oftalmologia
HOSP115,Ortopedia
HOSP116,Otorrinolaringologia
HOSP116,Pneumologia
HOSP116,Psiquiatria
HOSP117,Cardiologia
HOSP117,Neurologia
HOSP118,Ginecologia
HOSP118,Neurologia
HOSP118,Psiquiatria
HOSP119,Clínica Médica
HOSP119,Ginecologia
HOSP120,Obstetrícia
HOSP120,Ortopedia
HOSP120,Pneumologia
HOSP120,Psiquiatria
HOSP120,Trauma
HOSP121,Endocrinologia
HOSP121,Oftalmologia
HOSP121,Ortopedia
HOSP121,Pediatria
HOSP122,Cardiologia
HOSP122,Gastroenterologia
HOSP122,Trauma
HOSP123,Cirurgia Geral
HOSP123,Endocrinologia
HOSP123,Ginecologia
HOSP123,Obstetrícia
HOSP123,Trauma
HOSP124,Pediatria
HOSP124,Psiquiatria
HOSP125,Endocrinologia
HOSP125,Neurologia
HOSP125,Obstetrícia
HOSP125,Ortopedia
HOSP125,Trauma
HOSP126,Cardiologia
HOSP126,Cirurgia Geral
HOSP126,Pneumologia
HOSP127,Neurologia
HOSP127,Ortopedia
HOSP127,Pediatria
HOSP127,Psiquiatria
HOSP128,Endocrinologia
HOSP128,Neurologia
HOSP128,Ortopedia
HOSP128,Pediatria
HOSP129,Cardiologia
HOSP129,Clínica Médica
HOSP130,Clínica Médica
HOSP130,Endocrinologia
HOSP130,Neurologia
HOSP130,Otorrinolaringologia
HOSP131,Cirurgia Geral
HOSP131,Neurologia
HOSP132,Dermatologia
HOSP132,Oftalmologia
HOSP132,Trauma
HOSP133,Gastroenterologia
HOSP133,Ginecologia
HOSP133,Ortopedia
HOSP133,Psiquiatria
HOSP134,Obstetrícia
HOSP134,Pediatria
HOSP135,Cardiologia
HOSP135,Oftalmologia
HOSP135,Pediatria
HOSP135,Pneumologia
HOSP135,Psiquiatria
HOSP136,Obstetrícia
HOSP136,Otorrinolaringologia
HOSP136,Pneumologia
HOSP136,Urologia
HOSP137,Dermatologia
HOSP137,Neurologia
HOSP138,Gastroenterologia
HOSP138,Otorrinolaringologia
HOSP138,Pneumologia
HOSP138,Trauma
HOSP139,Clínica Médica
HOSP139,Oftalmologia
HOSP140,Dermatologia
HOSP140,Endocrinologia
HOSP140,Gastroenterologia
HOSP140,Obstetrícia
HOSP140,Ortopedia
HOSP141,Cardiologia
HOSP141,Gastroenterologia
HOSP142,Cirurgia Geral
HOSP142,Obstetrícia
HOSP142,Trauma
HOSP143,Clínica Médica
HOSP143,Neurologia
HOSP143,Pediatria
HOSP144,Endocrinologia
HOSP144,Trauma
HOSP145,Dermatologia
HOSP145,Ginecologia
HOSP145,Ortopedia
HOSP145,Urologia
HOSP146,Cardiologia
HOSP146,Ortopedia
HOSP146,Pneumologia
HOSP147,Cardiologia
HOSP147,Psiquiatria
HOSP148,Cirurgia Geral
HOSP148,Endocrinologia
HOSP148,Ginecologia
HOSP148,Neurologia
HOSP148,Urologia
HOSP149,Clínica Médica
HOSP149,Pediatria
HOSP150,Cirurgia Geral
HOSP150,Oftalmologia
HOSP150,Ortopedia
HOSP150,Otorrinolaringologia
HOSP150,Trauma
HOSP151,Endocrinologia
HOSP151,Ginecologia
HOSP151,Ortopedia
HOSP152,Cardiologia
HOSP152,Gastroenterologia
HOSP152,Pediatria
HOSP153,Cirurgia Geral
HOSP153,Dermatologia
HOSP153,Pediatria
HOSP154,Dermatologia
HOSP154,Otorrinolaringologia
HOSP154,Pediatria
HOSP155,Cardiologia
HOSP155,Dermatologia
HOSP155,Psiquiatria
HOSP155,Trauma
HOSP156,Cirurgia Geral
HOSP156,Gastroenterologia
HOSP156,Pneumologia
HOSP157,Ortopedia
HOSP157,Otorrinolaringologia
HOSP158,Dermatologia
HOSP158,Ginecologia
HOSP158,Neurologia
HOSP158,Psiquiatria
HOSP159,Cardiologia
HOSP159,Dermatologia
HOSP159,Otorrinolaringologia
HOSP160,Cirurgia Geral
HOSP160,Clínica Médica
HOSP160,Ginecologia
HOSP160,Oftalmologia
HOSP161,Cirurgia Geral
HOSP161,Ginecologia
HOSP162,Gastroenterologia
HOSP162,Neurologia
HOSP162,Ortopedia
HOSP162,Trauma
HOSP163,Neurologia
HOSP163,Obstetrícia
HOSP163,Ortopedia
HOSP163,Otorrinolaringologia
HOSP163,Urologia
HOSP164,Cirurgia Geral
HOSP164,Pediatria
HOSP165,Cardiologia
HOSP165,Clínica Médica
HOSP165,Dermatologia
HOSP165,Oftalmologia
HOSP165,Pneumologia
HOSP166,Clínica Médica
HOSP166,Oftalmologia
HOSP166,Pneumologia
HOSP167,Clínica Médica
HOSP167,Dermatologia
HOSP167,Neurologia
HOSP168,Neurologia
HOSP168,Obstetrícia
HOSP168,Pediatria
HOSP168,Trauma
HOSP169,Clínica Médica
HOSP169,Psiquiatria
HOSP170,Cardiologia
HOSP170,Ortopedia
HOSP170,Pediatria
HOSP170,Psiquiatria
HOSP171,Cardiologia
HOSP171,Ginecologia
HOSP171,Pneumologia
HOSP171,Psiquiatria
HOSP172,Cirurgia Geral
HOSP172,Ortopedia
HOSP173,Endocrinologia
HOSP173,Gastroenterologia
HOSP173,Neurologia
HOSP173,Oftalmologia
HOSP173,Pediatria
HOSP174,Endocrinologia
HOSP174,Trauma
HOSP175,Oftalmologia
HOSP175,Ortopedia
HOSP175,Trauma
HOSP175,Urologia
HOSP176,Endocrinologia
HOSP176,Pneumologia
HOSP176,Urologia
HOSP177,Cardiologia
HOSP177,Dermatologia
HOSP177,Psiquiatria
HOSP178,Clínica Médica
HOSP178,Gastroenterologia
HOSP178,Neurologia
HOSP179,Clínica Médica
HOSP179,Pneumologia
HOSP180,Cardiologia
HOSP180,Clínica Médica
HOSP180,Neurologia
HOSP180,Trauma
HOSP181,Ortopedia
HOSP181,Trauma
HOSP182,Cardiologia
HOSP182,Obstetrícia
HOSP182,Psiquiatria
HOSP183,Cirurgia Geral
HOSP183,Dermatologia
HOSP183,Neurologia
HOSP183,Psiquiatria
HOSP184,Endocrinologia
HOSP184,Oftalmologia
HOSP184,Pediatria
HOSP185,Dermatologia
HOSP185,Otorrinolaringologia
HOSP185,Psiquiatria
HOSP185,Trauma
HOSP186,Cirurgia Geral
HOSP186,Clínica Médica
HOSP186,Pneumologia
HOSP187,Ortopedia
HOSP187,Pneumologia
HOSP187,Trauma
HOSP188,Cardiologia
HOSP188,Neurologia
HOSP188,Obstetrícia
HOSP189,Cardiologia
HOSP189,Pediatria
HOSP190,Cardiologia
HOSP190,Clínica Médica
HOSP190,Oftalmologia
HOSP190,Pneumologia
HOSP190,Trauma
HOSP191,Cirurgia Geral
HOSP191,Pediatria
HOSP192,Cirurgia Geral
HOSP192,Trauma
HOSP193,Ortopedia
HOSP193,Otorrinolaringologia
HOSP193,Psiquiatria
HOSP194,Pediatria
HOSP194,Pneumologia
HOSP195,Cardiologia
HOSP195,Gastroenterologia
HOSP195,Pediatria
HOSP195,Psiquiatria
HOSP196,Dermatologia
HOSP196,Ortopedia
HOSP196,Pneumologia
HOSP196,Psiquiatria
HOSP197,Dermatologia
HOSP197,Neurologia
HOSP197,Ortopedia
HOSP198,Obstetrícia
HOSP198,Oftalmologia
HOSP198,Otorrinolaringologia
HOSP198,Trauma
HOSP199,Clínica Médica
HOSP199,Dermatologia
HOSP199,Ginecologia
HOSP200,Obstetrícia
HOSP200,Ortopedia
HOSP200,Pediatria
HOSP200,Psiquiatria
HOSP200,Trauma
HOSP201,Cardiologia
HOSP201,Ginecologia
HOSP201,Obstetrícia
HOSP202,Cirurgia Geral
HOSP202,Pneumologia
HOSP202,Urologia
HOSP203,Cirurgia Geral
HOSP203,Ortopedia
HOSP203,Pediatria
HOSP203,Psiquiatria
HOSP204,Ortopedia
HOSP204,Trauma
HOSP205,Cirurgia Geral
HOSP205,Gastroenterologia
HOSP205,Neurologia
HOSP205,Ortopedia
HOSP205,Urologia
HOSP206,Endocrinologia
HOSP206,Pneumologia
HOSP206,Trauma
HOSP207,Cardiologia
HOSP207,Endocrinologia
HOSP207,Obstetrícia
HOSP207,Pneumologia
HOSP208,Clínica Médica
HOSP208,Neurologia
HOSP208,Ortopedia
HOSP208,Pneumologia
HOSP209,Cardiologia
HOSP209,Clínica Médica
HOSP210,Neurologia
HOSP210,Obstetrícia
HOSP210,Trauma
HOSP210,Urologia
HOSP211,Clínica Médica
HOSP211,Ortopedia
HOSP212,Cardiologia
HOSP212,Cirurgia Geral
HOSP213,Cirurgia Geral
HOSP213,Ginecologia
HOSP213,Obstetrícia
HOSP214,Pediatria
HOSP214,Pneumologia
HOSP215,Dermatologia
HOSP215,Otorrinolaringologia
HOSP215,Trauma
HOSP215,Urologia
HOSP216,Dermatologia
HOSP216,Oftalmologia
HOSP216,Ortopedia
HOSP216,Pneumologia
HOSP217,Endocrinologia
HOSP217,Ortopedia
HOSP218,Cardiologia
HOSP218,Neurologia
HOSP218,Pneumologia
HOSP219,Cardiologia
HOSP219,Cirurgia Geral
HOSP219,Oftalmologia
HOSP220,Clínica Médica
HOSP220,Endocrinologia
HOSP220,Ginecologia
HOSP220,Oftalmologia
HOSP220,Psiquiatria
HOSP221,Cirurgia Geral
HOSP221,Pediatria
HOSP222,Cirurgia Geral
HOSP222,Otorrinolaringologia
HOSP222,Trauma
HOSP223,Ginecologia
HOSP223,Neurologia
HOSP223,Ortopedia
HOSP223,Pediatria
HOSP224,Pediatria
HOSP224,Trauma
HOSP225,Cardiologia
HOSP225,Cirurgia Geral
HOSP225,Ginecologia
HOSP225,Pediatria
HOSP226,Clínica Médica
HOSP226,Ortopedia
HOSP226,Pneumologia
HOSP226,Urologia
HOSP227,Cardiologia
HOSP227,Neurologia
HOSP227,Pediatria
HOSP228,Pediatria
HOSP228,Pneumologia
HOSP228,Trauma
HOSP229,Clínica Médica
HOSP229,Dermatologia
HOSP229,Endocrinologia
HOSP230,Cardiologia
HOSP230,Gastroenterologia
HOSP230,Ortopedia
HOSP230,Pneumologia
HOSP231,Cardiologia
HOSP231,Neurologia
HOSP231,Otorrinolaringologia
HOSP231,Pneumologia
HOSP232,Cirurgia Geral
HOSP232,Obstetrícia
HOSP232,Urologia
HOSP233,Gastroenterologia
HOSP233,Neurologia
HOSP233,Pediatria
HOSP233,Trauma
HOSP234,Gastroenterologia
HOSP234,Trauma
HOSP235,Cardiologia
HOSP235,Cirurgia Geral
HOSP235,Endocrinologia
HOSP235,Obstetrícia
HOSP235,Ortopedia
HOSP236,Clínica Médica
HOSP236,Pneumologia
HOSP236,Psiquiatria
HOSP237,Cardiologia
HOSP237,Cirurgia Geral
HOSP237,Oftalmologia
HOSP237,Psiquiatria
HOSP238,Cirurgia Geral
HOSP238,Ginecologia
HOSP238,Neurologia
HOSP238,Trauma
HOSP239,Clínica Médica
HOSP239,Neurologia
HOSP239,Otorrinolaringologia
HOSP240,Neurologia
HOSP240,Oftalmologia
HOSP240,Ortopedia
HOSP240,Trauma
HOSP241,Neurologia
HOSP241,Ortopedia
HOSP242,Cardiologia
HOSP242,Otorrinolaringologia
HOSP243,Cirurgia Geral
HOSP243,Endocrinologia
HOSP243,Neurologia
HOSP243,Ortopedia
HOSP244,Pediatria
HOSP244,Trauma
HOSP245,Clínica Médica
HOSP245,Gastroenterologia
HOSP245,Obstetrícia
HOSP245,Trauma
HOSP246,Cirurgia Geral
HOSP246,Pneumologia
HOSP246,Psiquiatria
HOSP246,Trauma
HOSP247,Cardiologia
HOSP247,Cirurgia Geral
HOSP247,Ortopedia
HOSP248,Endocrinologia
HOSP248,Neurologia
HOSP248,Ortopedia
HOSP248,Urologia
HOSP249,Cardiologia
HOSP249,Clínica Médica
HOSP250,Clínica Médica
HOSP250,Gastroenterologia
HOSP250,Otorrinolaringologia
HOSP250,Pediatria
HOSP251,Cirurgia Geral
HOSP251,Clínica Médica
HOSP251,Otorrinolaringologia
HOSP251,Pediatria
HOSP252,Pneumologia
HOSP252,Trauma
HOSP253,Ortopedia
HOSP253,Pneumologia
HOSP253,Psiquiatria
HOSP254,Obstetrícia
HOSP254,Pediatria
HOSP254,Urologia
HOSP255,Cardiologia
HOSP255,Gastroenterologia
HOSP255,Otorrinolaringologia
HOSP255,Psiquiatria
HOSP256,Oftalmologia
HOSP256,Pneumologia
HOSP256,Trauma
HOSP257,Dermatologia
HOSP257,Endocrinologia
HOSP257,Neurologia
HOSP257,Otorrinolaringologia
HOSP258,Neurologia
HOSP258,Pediatria
HOSP258,Trauma
HOSP259,Clínica Médica
HOSP259,Ginecologia
HOSP260,Cardiologia
HOSP260,Endocrinologia
HOSP260,Ortopedia
HOSP260,Pediatria
HOSP261,Cardiologia
HOSP261,Gastroenterologia
HOSP261,Ginecologia
HOSP261,Ortopedia
HOSP262,Cirurgia Geral
HOSP262,Ginecologia
HOSP263,Gastroenterologia
HOSP263,Obstetrícia
HOSP263,Pediatria
HOSP263,Trauma
HOSP264,Endocrinologia
HOSP264,Trauma
HOSP265,Cirurgia Geral
HOSP265,Endocrinologia
HOSP265,Ortopedia
HOSP265,Otorrinolaringologia
HOSP265,Trauma
HOSP266,Gastroenterologia
HOSP266,Ginecologia
HOSP266,Pneumologia
HOSP267,Cardiologia
HOSP267,Cirurgia Geral
HOSP268,Cirurgia Geral
HOSP268,Neurologia
HOSP268,Pediatria
HOSP268,Psiquiatria
HOSP269,Clínica Médica
HOSP269,Ginecologia
HOSP270,Endocrinologia
HOSP270,Pneumologia
HOSP270,Psiquiatria
HOSP270,Trauma
HOSP271,Ginecologia
HOSP271,Ortopedia
HOSP271,Pneumologia
HOSP272,Cardiologia
HOSP272,Ginecologia
HOSP272,Pneumologia
HOSP272,Trauma
HOSP273,Cirurgia Geral
HOSP273,Clínica Médica
HOSP273,Endocrinologia
HOSP273,Pediatria
HOSP274,Endocrinologia
HOSP274,Otorrinolaringologia
HOSP274,Pediatria
HOSP275,Endocrinologia
HOSP275,Gastroenterologia
HOSP275,Trauma
HOSP275,Urologia
HOSP276,Otorrinolaringologia
HOSP276,Pediatria
HOSP276,Pneumologia
HOSP277,Obstetrícia
HOSP277,Ortopedia
HOSP278,Cardiologia
HOSP278,Neurologia
HOSP278,Pediatria
HOSP278,Psiquiatria
HOSP279,Cardiologia
HOSP279,Ginecologia
HOSP279,Oftalmologia
HOSP280,Cardiologia
HOSP280,Clínica Médica
HOSP280,Obstetrícia
HOSP280,Pediatria
HOSP281,Cirurgia Geral
HOSP281,Neurologia
HOSP281,Psiquiatria
HOSP282,Dermatologia
HOSP282,Trauma
HOSP283,Dermatologia
HOSP283,Endocrinologia
HOSP283,Ortopedia
HOSP283,Psiquiatria
HOSP284,Endocrinologia
HOSP284,Pediatria
HOSP285,Cardiologia
HOSP285,Clínica Médica
HOSP285,Ginecologia
HOSP285,Psiquiatria
HOSP286,Ginecologia
HOSP286,Neurologia
HOSP286,Pneumologia
HOSP287,Endocrinologia
HOSP287,Neurologia
HOSP287,Trauma
HOSP288,Clínica Médica
HOSP288,Dermatologia
HOSP288,Ortopedia
HOSP288,Trauma
HOSP289,Clínica Médica
HOSP289,Endocrinologia
HOSP289,Otorrinolaringologia
HOSP290,Cirurgia Geral
HOSP290,Neurologia
HOSP290,Oftalmologia
HOSP290,Ortopedia
HOSP290,Otorrinolaringologia
HOSP291,Cardiologia
HOSP291,Neurologia
HOSP291,Pneumologia
HOSP292,Cirurgia Geral
HOSP292,Obstetrícia
HOSP292,Trauma
HOSP293,Dermatologia
HOSP293,Gastroenterologia
HOSP293,Pediatria
HOSP293,Pneumologia
HOSP294,Endocrinologia
HOSP294,Trauma
HOSP295,Dermatologia
HOSP295,Oftalmologia
HOSP295,Ortopedia
HOSP295,Urologia
HOSP296,Pneumologia
HOSP296,Urologia
HOSP297,Cardiologia
HOSP297,Endocrinologia
HOSP297,Gastroenterologia
HOSP298,Clínica Médica
HOSP298,Dermatologia
HOSP298,Neurologia
HOSP298,Pneumologia
HOSP299,Clínica Médica
HOSP299,Urologia
HOSP300,Cirurgia Geral
HOSP300,Ginecologia
HOSP300,Obstetrícia
HOSP300,Trauma
