indicador_id,data,hospital_id,leitos_ocupados,leitos_disponiveis,taxa_ocupacao,quantidade_atendimentos,casos_baixa_gravidade,casos_media_gravidade,casos_alta_gravidade,casos_criticos,tempo_espera_medio_min,falhas_comunicacao
IND00001,01/09/2024,HOSP001,183,17,0.92,1,0,0,0,1,14,0
IND00002,01/10/2024,HOSP001,175,25,0.88,0,0,0,0,0,23,0
IND00003,01/11/2024,HOSP001,173,27,0.86,1,0,1,0,0,35,0
IND00004,01/12/2024,HOSP001,178,22,0.89,0,0,0,0,0,27,0
IND00005,01/01/2025,HOSP001,174,26,0.87,2,0,1,1,0,12,0
IND00006,01/02/2025,HOSP001,172,28,0.86,1,0,0,0,1,17,0
IND00007,01/03/2025,HOSP001,177,23,0.89,3,2,0,1,0,33,0
IND00008,01/04/2025,HOSP001,166,34,0.83,4,0,0,1,3,24,0
IND00009,01/05/2025,HOSP001,185,15,0.93,0,0,0,0,0,36,0
IND00010,01/06/2025,HOSP001,182,18,0.91,0,0,0,0,0,30,0
IND00011,01/07/2025,HOSP001,176,24,0.88,0,0,0,0,0,34,0
IND00012,01/08/2025,HOSP001,169,31,0.84,0,0,0,0,0,32,0
IND00013,01/09/2025,HOSP001,170,30,0.85,1,0,0,1,0,26,0
IND00014,01/10/2025,HOSP001,179,21,0.9,0,0,0,0,0,25,0
IND00015,01/11/2025,HOSP001,175,25,0.88,1,0,0,0,1,14,0
IND00016,01/12/2025,HOSP001,181,19,0.91,0,0,0,0,0,32,0
IND00017,01/01/2026,HOSP001,166,34,0.83,0,0,0,0,0,27,0
IND00018,01/02/2026,HOSP001,178,22,0.89,0,0,0,0,0,27,0
IND00019,01/03/2026,HOSP001,178,22,0.89,2,0,1,1,0,30,0
IND00020,01/04/2026,HOSP001,179,21,0.9,1,0,1,0,0,53,0
IND00021,01/05/2026,HOSP001,171,29,0.85,1,0,1,0,0,52,1
IND00022,01/06/2026,HOSP001,177,23,0.89,3,0,1,2,0,26,0
IND00023,01/07/2026,HOSP001,176,24,0.88,0,0,0,0,0,29,0
IND00024,01/08/2026,HOSP001,170,30,0.85,2,0,0,2,0,36,0
IND00025,01/09/2024,HOSP002,158,22,0.88,1,0,0,1,0,59,0
IND00026,01/10/2024,HOSP002,146,34,0.81,1,0,0,0,1,29,0
IND00027,01/11/2024,HOSP002,146,34,0.81,0,0,0,0,0,20,0
IND00028,01/12/2024,HOSP002,146,34,0.81,0,0,0,0,0,36,0
IND00029,01/01/2025,HOSP002,143,37,0.79,4,0,1,2,1,26,1
IND00030,01/02/2025,HOSP002,154,26,0.86,2,0,0,2,0,27,0
IND00031,01/03/2025,HOSP002,160,20,0.89,1,1,0,0,0,43,0
IND00032,01/04/2025,HOSP002,163,17,0.91,2,0,1,1,0,29,1
IND00033,01/05/2025,HOSP002,150,30,0.83,4,0,0,4,0,24,0
IND00034,01/06/2025,HOSP002,151,29,0.84,0,0,0,0,0,25,0
IND00035,01/07/2025,HOSP002,147,33,0.82,1,0,0,0,1,53,0
IND00036,01/08/2025,HOSP002,157,23,0.87,0,0,0,0,0,35,0
IND00037,01/09/2025,HOSP002,152,28,0.84,0,0,0,0,0,30,0
IND00038,01/10/2025,HOSP002,133,47,0.74,1,0,0,1,0,20,0
IND00039,01/11/2025,HOSP002,151,29,0.84,0,0,0,0,0,38,0
IND00040,01/12/2025,HOSP002,142,38,0.79,0,0,0,0,0,25,0
IND00041,01/01/2026,HOSP002,160,20,0.89,0,0,0,0,0,27,0
IND00042,01/02/2026,HOSP002,153,27,0.85,0,0,0,0,0,31,0
IND00043,01/03/2026,HOSP002,153,27,0.85,0,0,0,0,0,16,0
IND00044,01/04/2026,HOSP002,153,27,0.85,2,0,2,0,0,28,0
IND00045,01/05/2026,HOSP002,150,30,0.83,0,0,0,0,0,34,0
IND00046,01/06/2026,HOSP002,147,33,0.82,1,0,0,1,0,7,0
IND00047,01/07/2026,HOSP002,145,35,0.81,1,0,0,1,0,14,0
IND00048,01/08/2026,HOSP002,158,22,0.88,1,0,0,0,1,30,0
IND00049,01/09/2024,HOSP003,193,27,0.88,1,1,0,0,0,52,0
IND00050,01/10/2024,HOSP003,178,42,0.81,0,0,0,0,0,38,0
IND00051,01/11/2024,HOSP003,184,36,0.84,1,0,0,0,1,49,0
IND00052,01/12/2024,HOSP003,178,42,0.81,0,0,0,0,0,36,0
IND00053,01/01/2025,HOSP003,198,22,0.9,0,0,0,0,0,33,0
IND00054,01/02/2025,HOSP003,187,33,0.85,0,0,0,0,0,28,0
IND00055,01/03/2025,HOSP003,189,31,0.86,1,0,0,1,0,45,0
IND00056,01/04/2025,HOSP003,200,20,0.91,1,0,0,1,0,36,0
IND00057,01/05/2025,HOSP003,197,23,0.9,0,0,0,0,0,36,0
IND00058,01/06/2025,HOSP003,195,25,0.89,1,0,0,1,0,8,0
IND00059,01/07/2025,HOSP003,191,29,0.87,0,0,0,0,0,35,0
IND00060,01/08/2025,HOSP003,188,32,0.85,0,0,0,0,0,31,0
IND00061,01/09/2025,HOSP003,202,18,0.92,0,0,0,0,0,29,0
IND00062,01/10/2025,HOSP003,201,19,0.91,1,0,1,0,0,25,0
IND00063,01/11/2025,HOSP003,194,26,0.88,1,0,0,0,1,48,0
IND00064,01/12/2025,HOSP003,194,26,0.88,0,0,0,0,0,27,0
IND00065,01/01/2026,HOSP003,205,15,0.93,0,0,0,0,0,22,0
IND00066,01/02/2026,HOSP003,190,30,0.86,0,0,0,0,0,36,0
IND00067,01/03/2026,HOSP003,191,29,0.87,0,0,0,0,0,16,0
IND00068,01/04/2026,HOSP003,189,31,0.86,0,0,0,0,0,27,0
IND00069,01/05/2026,HOSP003,180,40,0.82,0,0,0,0,0,30,0
IND00070,01/06/2026,HOSP003,174,46,0.79,0,0,0,0,0,34,0
IND00071,01/07/2026,HOSP003,183,37,0.83,0,0,0,0,0,39,0
IND00072,01/08/2026,HOSP003,186,34,0.85,1,0,0,0,1,31,0
IND00073,01/09/2024,HOSP004,108,52,0.68,0,0,0,0,0,35,0
IND00074,01/10/2024,HOSP004,111,49,0.69,0,0,0,0,0,27,0
IND00075,01/11/2024,HOSP004,110,50,0.69,1,0,0,1,0,27,0
IND00076,01/12/2024,HOSP004,119,41,0.74,0,0,0,0,0,33,0
IND00077,01/01/2025,HOSP004,115,45,0.72,0,0,0,0,0,22,0
IND00078,01/02/2025,HOSP004,117,43,0.73,0,0,0,0,0,37,0
IND00079,01/03/2025,HOSP004,114,46,0.71,0,0,0,0,0,28,0
IND00080,01/04/2025,HOSP004,114,46,0.71,1,0,1,0,0,23,0
IND00081,01/05/2025,HOSP004,116,44,0.72,0,0,0,0,0,25,0
IND00082,01/06/2025,HOSP004,115,45,0.72,0,0,0,0,0,25,0
IND00083,01/07/2025,HOSP004,113,47,0.71,0,0,0,0,0,29,0
IND00084,01/08/2025,HOSP004,114,46,0.71,0,0,0,0,0,27,0
IND00085,01/09/2025,HOSP004,114,46,0.71,0,0,0,0,0,42,0
IND00086,01/10/2025,HOSP004,107,53,0.67,0,0,0,0,0,25,0
IND00087,01/11/2025,HOSP004,109,51,0.68,1,0,0,1,0,21,0
IND00088,01/12/2025,HOSP004,102,58,0.64,1,0,1,0,0,18,0
IND00089,01/01/2026,HOSP004,112,48,0.7,0,0,0,0,0,29,0
IND00090,01/02/2026,HOSP004,98,62,0.61,1,0,1,0,0,16,0
IND00091,01/03/2026,HOSP004,103,57,0.64,0,0,0,0,0,29,0
IND00092,01/04/2026,HOSP004,113,47,0.71,0,0,0,0,0,29,0
IND00093,01/05/2026,HOSP004,113,47,0.71,1,1,0,0,0,24,0
IND00094,01/06/2026,HOSP004,113,47,0.71,0,0,0,0,0,29,0
IND00095,01/07/2026,HOSP004,107,53,0.67,0,0,0,0,0,26,0
IND00096,01/08/2026,HOSP004,119,41,0.74,0,0,0,0,0,25,0
IND00097,01/09/2024,HOSP005,202,48,0.81,1,0,0,1,0,11,1
IND00098,01/10/2024,HOSP005,217,33,0.87,0,0,0,0,0,24,0
IND00099,01/11/2024,HOSP005,206,44,0.82,0,0,0,0,0,20,0
IND00100,01/12/2024,HOSP005,215,35,0.86,0,0,0,0,0,30,0
IND00101,01/01/2025,HOSP005,207,43,0.83,0,0,0,0,0,35,0
IND00102,01/02/2025,HOSP005,217,33,0.87,2,0,0,2,0,26,1
IND00103,01/03/2025,HOSP005,209,41,0.84,0,0,0,0,0,26,0
IND00104,01/04/2025,HOSP005,207,43,0.83,2,0,0,2,0,34,0
IND00105,01/05/2025,HOSP005,201,49,0.8,0,0,0,0,0,26,0
IND00106,01/06/2025,HOSP005,219,31,0.88,0,0,0,0,0,27,0
IND00107,01/07/2025,HOSP005,204,46,0.82,0,0,0,0,0,26,0
IND00108,01/08/2025,HOSP005,222,28,0.89,0,0,0,0,0,20,0
IND00109,01/09/2025,HOSP005,208,42,0.83,0,0,0,0,0,37,0
IND00110,01/10/2025,HOSP005,197,53,0.79,1,0,0,1,0,28,0
IND00111,01/11/2025,HOSP005,205,45,0.82,1,0,0,1,0,19,0
IND00112,01/12/2025,HOSP005,210,40,0.84,1,0,1,0,0,38,1
IND00113,01/01/2026,HOSP005,198,52,0.79,0,0,0,0,0,31,0
IND00114,01/02/2026,HOSP005,213,37,0.85,1,0,1,0,0,18,0
IND00115,01/03/2026,HOSP005,193,57,0.77,0,0,0,0,0,25,0
IND00116,01/04/2026,HOSP005,213,37,0.85,2,0,0,1,1,26,1
IND00117,01/05/2026,HOSP005,213,37,0.85,2,0,1,0,1,38,0
IND00118,01/06/2026,HOSP005,199,51,0.8,1,0,0,1,0,25,0
IND00119,01/07/2026,HOSP005,216,34,0.86,1,0,0,0,1,63,0
IND00120,01/08/2026,HOSP005,187,63,0.75,1,0,1,0,0,33,0
IND00121,01/09/2024,HOSP006,187,8,0.96,1,0,0,1,0,22,0
IND00122,01/10/2024,HOSP006,183,12,0.94,2,0,1,1,0,38,0
IND00123,01/11/2024,HOSP006,171,24,0.88,2,1,0,1,0,39,0
IND00124,01/12/2024,HOSP006,175,20,0.9,1,0,1,0,0,25,0
IND00125,01/01/2025,HOSP006,191,4,0.98,1,0,0,1,0,62,0
IND00126,01/02/2025,HOSP006,186,9,0.95,2,0,1,0,1,34,0
IND00127,01/03/2025,HOSP006,172,23,0.88,1,0,1,0,0,13,0
IND00128,01/04/2025,HOSP006,186,9,0.95,2,1,0,1,0,22,0
IND00129,01/05/2025,HOSP006,178,17,0.91,1,0,1,0,0,39,0
IND00130,01/06/2025,HOSP006,176,19,0.9,3,0,1,2,0,17,0
IND00131,01/07/2025,HOSP006,167,28,0.86,2,0,0,2,0,8,0
IND00132,01/08/2025,HOSP006,179,16,0.92,1,0,0,1,0,24,0
IND00133,01/09/2025,HOSP006,181,14,0.93,0,0,0,0,0,31,0
IND00134,01/10/2025,HOSP006,178,17,0.91,3,0,0,3,0,24,0
IND00135,01/11/2025,HOSP006,179,16,0.92,0,0,0,0,0,26,0
IND00136,01/12/2025,HOSP006,179,16,0.92,1,0,0,1,0,21,0
IND00137,01/01/2026,HOSP006,183,12,0.94,2,0,2,0,0,18,0
IND00138,01/02/2026,HOSP006,182,13,0.93,2,0,0,2,0,28,0
IND00139,01/03/2026,HOSP006,180,15,0.92,1,0,1,0,0,30,0
IND00140,01/04/2026,HOSP006,191,4,0.98,2,0,1,1,0,27,0
IND00141,01/05/2026,HOSP006,180,15,0.92,1,0,0,1,0,31,0
IND00142,01/06/2026,HOSP006,168,27,0.86,5,0,1,4,0,37,0
IND00143,01/07/2026,HOSP006,189,6,0.97,3,0,0,3,0,23,0
IND00144,01/08/2026,HOSP006,183,12,0.94,1,0,0,1,0,10,0
IND00145,01/09/2024,HOSP007,129,46,0.74,3,0,1,2,0,32,0
IND00146,01/10/2024,HOSP007,130,45,0.74,2,0,0,2,0,22,0
IND00147,01/11/2024,HOSP007,134,41,0.77,0,0,0,0,0,28,0
IND00148,01/12/2024,HOSP007,140,35,0.8,1,1,0,0,0,44,0
IND00149,01/01/2025,HOSP007,145,30,0.83,0,0,0,0,0,31,0
IND00150,01/02/2025,HOSP007,132,43,0.75,2,0,1,0,1,27,0
IND00151,01/03/2025,HOSP007,144,31,0.82,1,0,0,1,0,25,0
IND00152,01/04/2025,HOSP007,139,36,0.79,3,0,2,0,1,37,2
IND00153,01/05/2025,HOSP007,134,41,0.77,3,0,1,2,0,32,0
IND00154,01/06/2025,HOSP007,145,30,0.83,4,0,4,0,0,29,1
IND00155,01/07/2025,HOSP007,141,34,0.81,2,0,0,2,0,26,0
IND00156,01/08/2025,HOSP007,137,38,0.78,0,0,0,0,0,34,0
IND00157,01/09/2025,HOSP007,135,40,0.77,2,1,0,1,0,27,0
IND00158,01/10/2025,HOSP007,137,38,0.78,1,0,0,1,0,41,0
IND00159,01/11/2025,HOSP007,137,38,0.78,0,0,0,0,0,38,0
IND00160,01/12/2025,HOSP007,148,27,0.85,3,0,3,0,0,23,1
IND00161,01/01/2026,HOSP007,139,36,0.79,1,0,0,1,0,23,0
IND00162,01/02/2026,HOSP007,123,52,0.7,1,0,0,1,0,30,0
IND00163,01/03/2026,HOSP007,138,37,0.79,6,0,2,3,1,24,0
IND00164,01/04/2026,HOSP007,133,42,0.76,2,0,1,1,0,36,0
IND00165,01/05/2026,HOSP007,139,36,0.79,2,0,1,1,0,44,0
IND00166,01/06/2026,HOSP007,144,31,0.82,2,0,0,2,0,22,0
IND00167,01/07/2026,HOSP007,126,49,0.72,1,0,1,0,0,41,0
IND00168,01/08/2026,HOSP007,147,28,0.84,1,0,1,0,0,39,0
IND00169,01/09/2024,HOSP008,156,54,0.74,1,0,0,1,0,25,0
IND00170,01/10/2024,HOSP008,148,62,0.7,1,0,0,1,0,39,0
IND00171,01/11/2024,HOSP008,146,64,0.7,4,0,0,3,1,34,0
IND00172,01/12/2024,HOSP008,147,63,0.7,1,0,0,0,1,48,0
IND00173,01/01/2025,HOSP008,144,66,0.69,2,0,1,0,1,20,0
IND00174,01/02/2025,HOSP008,154,56,0.73,0,0,0,0,0,39,0
IND00175,01/03/2025,HOSP008,141,69,0.67,1,0,0,1,0,41,0
IND00176,01/04/2025,HOSP008,145,65,0.69,1,0,0,1,0,13,0
IND00177,01/05/2025,HOSP008,149,61,0.71,0,0,0,0,0,27,0
IND00178,01/06/2025,HOSP008,143,67,0.68,1,0,0,1,0,26,0
IND00179,01/07/2025,HOSP008,148,62,0.7,3,1,2,0,0,36,0
IND00180,01/08/2025,HOSP008,148,62,0.7,1,0,0,0,1,8,0
IND00181,01/09/2025,HOSP008,164,46,0.78,1,0,0,1,0,40,0
IND00182,01/10/2025,HOSP008,161,49,0.77,1,0,0,1,0,5,0
IND00183,01/11/2025,HOSP008,159,51,0.76,1,0,1,0,0,36,0
IND00184,01/12/2025,HOSP008,153,57,0.73,1,0,0,1,0,23,0
IND00185,01/01/2026,HOSP008,149,61,0.71,2,0,2,0,0,32,0
IND00186,01/02/2026,HOSP008,148,62,0.7,1,0,1,0,0,34,0
IND00187,01/03/2026,HOSP008,144,66,0.69,2,0,0,2,0,30,0
IND00188,01/04/2026,HOSP008,152,58,0.72,0,0,0,0,0,26,0
IND00189,01/05/2026,HOSP008,143,67,0.68,2,0,0,2,0,24,0
IND00190,01/06/2026,HOSP008,145,65,0.69,0,0,0,0,0,29,0
IND00191,01/07/2026,HOSP008,157,53,0.75,1,0,0,1,0,24,0
IND00192,01/08/2026,HOSP008,142,68,0.68,2,0,1,0,1,24,0
IND00193,01/09/2024,HOSP009,139,16,0.9,0,0,0,0,0,30,0
IND00194,01/10/2024,HOSP009,137,18,0.88,0,0,0,0,0,25,0
IND00195,01/11/2024,HOSP009,138,17,0.89,0,0,0,0,0,25,0
IND00196,01/12/2024,HOSP009,130,25,0.84,0,0,0,0,0,34,0
IND00197,01/01/2025,HOSP009,146,9,0.94,2,1,1,0,0,30,0
IND00198,01/02/2025,HOSP009,141,14,0.91,1,0,1,0,0,36,0
IND00199,01/03/2025,HOSP009,147,8,0.95,0,0,0,0,0,39,0
IND00200,01/04/2025,HOSP009,152,3,0.98,0,0,0,0,0,28,0
IND00201,01/05/2025,HOSP009,136,19,0.88,0,0,0,0,0,25,0
IND00202,01/06/2025,HOSP009,134,21,0.86,1,0,1,0,0,41,0
IND00203,01/07/2025,HOSP009,142,13,0.92,0,0,0,0,0,27,0
IND00204,01/08/2025,HOSP009,146,9,0.94,1,0,0,1,0,38,0
IND00205,01/09/2025,HOSP009,143,12,0.92,0,0,0,0,0,23,0
IND00206,01/10/2025,HOSP009,148,7,0.95,2,0,2,0,0,28,0
IND00207,01/11/2025,HOSP009,144,11,0.93,0,0,0,0,0,27,0
IND00208,01/12/2025,HOSP009,135,20,0.87,0,0,0,0,0,31,0
IND00209,01/01/2026,HOSP009,138,17,0.89,2,0,2,0,0,19,0
IND00210,01/02/2026,HOSP009,139,16,0.9,0,0,0,0,0,28,0
IND00211,01/03/2026,HOSP009,148,7,0.95,0,0,0,0,0,36,0
IND00212,01/04/2026,HOSP009,146,9,0.94,0,0,0,0,0,30,0
IND00213,01/05/2026,HOSP009,149,6,0.96,0,0,0,0,0,32,0
IND00214,01/06/2026,HOSP009,143,12,0.92,0,0,0,0,0,28,0
IND00215,01/07/2026,HOSP009,142,13,0.92,0,0,0,0,0,37,0
IND00216,01/08/2026,HOSP009,132,23,0.85,0,0,0,0,0,22,0
IND00217,01/09/2024,HOSP010,196,34,0.85,1,0,0,1,0,32,0
